positionName,city,district,linestaion,companyFullName,companyShortName,industryField,financeStage,positionAdvantage,companyLabelList,education,salary,workYear,lastLogin,companySize,skillLables
大数据开发工程师,南京,江宁区,无具体路线！,孩子王儿童用品股份有限公司,孩子王,消费生活,C轮,母婴行业独角兽、互联网氛围、晋升灵活,节日礼物 技能培训 年度旅游 岗位晋升,本科,17k-30k,3-5年,2020-04-13 19:44:27,2000人以上,数据仓库 数据分析 数据挖掘
大数据开发工程师,北京,海淀区,13号线_上地,北京小米科技有限责任公司,小米,硬件,D轮及以上,"大牛云集,各种福利",快速成长 免费班车 扁平管理 技能培训,本科,20k-40k,1-3年,2020-04-13 20:56:18,2000人以上,Hadoop 数据挖掘
大数据开发工程师,北京,东城区,2号线_东直门;2号线_东四十条;5号线_张自忠路;5号线_北新桥;13号线_东直门;机场线_东直门,北京百观科技有限公司,百观Lab,"数据服务,金融",A轮,"高成长空间,有挑战性,福利待遇好",硅谷风格 带薪年假 国际化 零食管够,本科,20k-35k,5-10年,2020-04-13 18:04:07,15-50人,Hive 数据挖掘
大数据开发工程师,深圳,南山区,无具体路线！,深圳北纬三十度信息科技有限公司,北纬三十度,"电商,医疗丨健康",未融资,大平台 福利好 发展前景好,,大专,20k-35k,不限,2020-04-13 18:02:53,150-500人,数据挖掘 算法 数据架构 数据仓库
大数据开发工程师,成都,高新区,1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府三街;1号线(科学城)_世纪城,成都路行通信息技术有限公司,路行通,"移动互联网,消费生活",不需要融资,车辆网 新零售 高速发展平台,年度旅游 岗位晋升 五险一金 弹性工作,本科,15k-30k,3-5年,2020-04-13 21:42:54,500-2000人,Hadoop Hive Spark MySQL
大数据开发工程师,上海,浦东新区,无具体路线！,上海阅文信息技术有限公司,阅文集团,文娱丨内容,上市公司,"Top团队,福利好,环境佳,发展快",年终分红 年底双薪 五险一金 交通补助,本科,20k-40k,不限,2020-04-13 22:10:42,500-2000人,
大数据中高级工程师,深圳,福田区,1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;2号线/蛇口线_莲花西;2号线/蛇口线_福田;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;3号线/龙岗线_购物公园;3号线/龙岗线_福田;3号线/龙岗线_少年宫;4号线/龙华线_会展中心;4号线/龙华线_市民中心;4号线/龙华线_少年宫;11号线/机场线_福田,深圳市紫川软件有限公司,紫川软件,"电商,金融",不需要融资,"周末双休,五险一金,员工旅游,员工体检",节日礼物 年底双薪 绩效奖金 岗位晋升,本科,14k-20k,3-5年,2020-04-13 19:39:14,500-2000人,Hadoop Storm 数据挖掘 数据仓库
大数据开发工程师,上海,静安区,1号线_中山北路;1号线_延长路;8号线_西藏北路,上海海万信息科技股份有限公司,海万科技,"移动互联网,金融",不需要融资,五险一金，带薪年假，年终奖，旅游节日礼金,,本科,10k-16k,3-5年,2020-04-13 22:16:58,500-2000人,Spark Storm Hive Hadoop
大数据开发工程师,广州,天河区,1号线_杨箕;1号线_体育西路;1号线_体育中心;3号线_珠江新城;3号线_体育西路;3号线_石牌桥;3号线(北延段)_体育西路;5号线_杨箕;5号线_五羊邨;5号线_珠江新城;5号线_猎德;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南,上海翡翠东方网络信息技术有限公司,翡翠东方TVBC,文娱丨内容,不需要融资,TVB平台，天河区CBD，最大的粤语社区,午餐补助 交通补助 通讯津贴 定期体检,本科,18k-25k,5-10年,2020-04-13 22:05:01,150-500人,数据库开发 数据处理 数据分析 搜索
大数据开发工程师,上海,徐汇区,3号线_宜山路;9号线_宜山路;9号线_桂林路;12号线_虹漕路;12号线_桂林公园,上海众言网络科技有限公司,问卷网@爱调研,移动互联网,C轮,发展空间领导nice能力提升主人翁角色,技能培训 节日礼物 年底双薪 绩效奖金,本科,15k-20k,1-3年,2020-04-13 22:06:12,150-500人,Hadoop 数据库开发 Scala Redis
大数据开发工程师,上海,浦东新区,2号线\2号线东延线_广兰路,上海新萌网络科技有限公司,新萌网络,社交,不需要融资,"发展平台,扁平化,晋升机会,福利待遇",弹性工作 免费班车 年底双薪 带薪年假,本科,20k-30k,3-5年,2020-04-13 22:02:50,150-500人,Hadoop Hive Java
大数据开发工程师,深圳,南山区,1号线/罗宝线_桃园;1号线/罗宝线_大新;11号线/机场线_南山,深圳市明源云客电子商务有限公司,明源云,电商,上市公司,发展空间大，综合福利好， 技术氛围浓厚,高额六险一金 年底双薪 绩效奖金 N项经费,本科,15k-25k,3-5年,2020-04-13 22:24:44,2000人以上,Hadoop Storm Java
大数据开发工程师,广州,天河区,4号线_车陂;4号线_车陂南;5号线_科韵路;5号线_车陂南,上海游民网络科技有限公司广州分公司,3K游戏,"游戏,移动互联网",上市公司,**技术专家 技术大牛 技术氛围好,绩效奖金 免费包餐 海外旅游 环境舒适,本科,20k-30k,3-5年,2020-04-13 21:54:52,150-500人,算法 ETL Java Hadoop
大数据开发工程师,北京,朝阳区,13号线_望京西;14号线东段_望京;14号线东段_阜通;15号线_望京;15号线_望京西,厦门美柚信息科技有限公司,美柚,移动互联网,D轮及以上,"发展空间大,团队氛围佳",绩效奖金 股票期权 年底双薪 专项奖金,本科,20k-40k,不限,2020-04-13 20:23:14,500-2000人,
大数据开发工程师,武汉,江夏区,2号线_秀湖;2号线_金融港北,北京小米科技有限责任公司,小米,硬件,D轮及以上,大平台 大发展,快速成长 免费班车 扁平管理 技能培训,本科,16k-32k,不限,2020-04-13 21:53:46,2000人以上,Hadoop Spark 数据仓库
大数据开发工程师,上海,青浦区,无具体路线！,易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,移动互联网,上市公司,发现空间，平台背景,,大专,15k-20k,3-5年,2020-04-13 22:19:07,150-500人,Spark
大数据开发工程师,广州,天河区,1号线_体育中心;1号线_广州东站;3号线(北延段)_燕塘;3号线(北延段)_广州东站;3号线(北延段)_林和西;6号线_燕塘;6号线_天平架;APM线_体育中心南;APM线_林和西,广州小迈网络科技有限公司,广州小迈,移动互联网,B轮,"平台宽,大牛多,双休弹性，下午茶, 餐补",年度旅游 六险一金 餐费补贴 递增年假,本科,18k-28k,3-5年,2020-04-13 21:40:27,150-500人,Hadoop 数据仓库 ETL
大数据开发工程师,上海,长宁区,2号线_中山公园;2号线_娄山关路;3号线_中山公园;3号线_延安西路;4号线_延安西路;4号线_中山公园;10号线_宋园路;10号线_伊犁路;10号线_宋园路;10号线_伊犁路,云账户（上海）智能科技有限公司,云账户,数据服务,C轮,公司福利好,节日礼物 带薪年假 绩效奖金 五险一金,本科,18k-35k,3-5年,2020-04-13 21:35:41,150-500人,数据挖掘 数据仓库 数据分析
大数据开发工程师,深圳,南山区,2号线/蛇口线_登良;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海,深圳美西西餐饮管理有限公司,喜茶,"移动互联网,消费生活",B轮,待遇好，平台大，氛围好,年底双薪 带薪年假 节日礼物 美女多,本科,15k-30k,3-5年,2020-04-13 22:20:59,2000人以上,Hadoop MySQL Oracle Java
大数据开发工程师,上海,闵行区,9号线_漕河泾开发区;9号线_合川路;12号线_虹梅路,上海莉莉丝科技股份有限公司,莉莉丝游戏,"移动互联网,游戏",不需要融资,"弹性工作,福利待遇好,工作氛围好",项目奖金 零食无限量 牛逼的同事 境外旅游,本科,12k-24k,3-5年,2020-04-13 21:28:23,500-2000人,
大数据开发工程师,成都,高新区,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,北京卡拉卡尔科技股份有限公司,卡拉卡尔,"数据服务,文娱丨内容",不需要融资,社保公积金，节日福利，弹性工作,技能培训 节日礼物 带薪年假 绩效奖金,本科,10k-15k,3-5年,2020-04-13 21:58:54,150-500人,Java 数据架构 数据仓库 Hadoop
大数据开发工程师,深圳,福田区,1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;3号线/龙岗线_少年宫;3号线/龙岗线_莲花村;4号线/龙华线_会展中心;4号线/龙华线_市民中心;4号线/龙华线_少年宫,深圳市懿华软件有限公司,懿华软件,"移动互联网,消费生活",未融资,职位高大上，行业老大,绩效奖金 五险一金 专项奖金 交通补助,本科,14k-18k,3-5年,2020-04-13 17:36:41,少于15人,Hadoop Scala
大数据开发工程师,上海,徐汇区,4号线_大木桥路;4号线_东安路;4号线_上海体育场;7号线_龙华中路;7号线_东安路;11号线_龙华;11号线_龙华;12号线_龙华;12号线_龙华中路;12号线_大木桥路,上海海万信息科技股份有限公司,海万科技,"移动互联网,金融",不需要融资,"五险一金,年终奖,体检旅游,过节费",,本科,12k-20k,3-5年,2020-04-13 22:11:07,500-2000人,数据挖掘 数据仓库
大数据开发工程师,重庆,渝北区,5号线_幸福广场;6号线_光电园;环线_洪湖东路,马上消费金融股份有限公司,马上金融,"金融,移动互联网",不需要融资,带薪年假,股票期权 年终分红 绩效奖金 带薪年假,本科,15k-25k,5-10年,2020-04-13 17:35:11,2000人以上,Hadoop Java
资深大数据开发（数仓搭建）,北京,海淀区,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,北京拉勾网络技术有限公司,拉勾网,企业服务,D轮及以上,周末双休，提供午餐和晚餐，下午茶,五险一金 弹性工作 带薪年假 免费两餐,不限,20k-35k,5-10年,2020-04-13 20:28:22,500-2000人,数据仓库
大数据开发工程师,北京,海淀区,10号线_长春桥;10号线_火器营,北京芯盾时代科技有限公司,Trusfort芯盾时代,"移动互联网,信息安全",C轮,"五险一金,工作居住证,节日福利,出国旅游",股票期权 内荐重奖 餐补话补 关爱假期,本科,15k-30k,5-10年,2020-04-13 18:11:36,150-500人,Hadoop Spark 数据分析
大数据开发工程师,成都,高新区,1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_孵化园;1号线(科学城)_金融城,北京芯盾时代科技有限公司,Trusfort芯盾时代,"移动互联网,信息安全",C轮,"五险一金,工作居住证,节日福利,出国旅游",股票期权 内荐重奖 餐补话补 关爱假期,本科,15k-25k,5-10年,2020-04-13 18:11:36,150-500人,数据运营
高级大数据开发讲师,北京,海淀区,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,北京拉勾网络技术有限公司,拉勾网,企业服务,D轮及以上,高薪、试用期全薪、六险一金、领导nice,五险一金 弹性工作 带薪年假 免费两餐,本科,25k-50k,不限,2020-04-13 20:28:22,500-2000人,
大数据开发工程师,深圳,南山区,1号线/罗宝线_深大;1号线/罗宝线_桃园,腾讯科技（深圳）有限公司,腾讯,社交,上市公司,大平台,免费班车 成长空间 年度旅游 岗位晋升,本科,25k-40k,3-5年,2020-04-13 22:15:08,2000人以上,后端 Linux/Unix Java Hadoop
大数据开发工程师,深圳,福田区,1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;2号线/蛇口线_福田;2号线/蛇口线_市民中心;3号线/龙岗线_石厦;3号线/龙岗线_购物公园;3号线/龙岗线_福田;4号线/龙华线_会展中心;4号线/龙华线_市民中心;7号线_石厦;7号线_皇岗村;11号线/机场线_福田,申朴信息技术（上海）股份有限公司,申朴信息,金融,未融资,五险一金 13薪,节日礼物 技能培训 免费班车 带薪年假,本科,14k-18k,3-5年,2020-04-13 17:45:03,150-500人,SQLServer 数据架构 数据分析 数据库开发
大数据开发工程师,北京,海淀区,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,北京奇艺世纪科技有限公司,爱奇艺,文娱丨内容,上市公司,海外业务 大平台 扁平化管理 发展空间大,绩效奖金 五险一金 交通补助 带薪年假,本科,24k-45k,3-5年,2020-04-13 18:11:18,2000人以上,算法 数据仓库 数据架构 Hive
